# https://wikirate.org/?filter%5Byear%5D%5B%5D=2021&filter%5Bcompany_name%5D=&filter%5Bvalue%5D%5Bfrom%5D=&filter%5Bvalue%5D%5Bto%5D=&filter%5Bstatus%5D=exists&filter%5Bsource%5D=&mark=Fashion+Revolution%2B5+4+Overconsumption+Waste+Circularity%2BAnswer&format=csv&view=titled&limit=500
"# Wikirate.org, licensed under CC BY 4.0 (https://creativecommons.org/licenses/by/4.0). See https://wikirate.org/Attribution_Guide."
# 2023-11-21 02:29:08 UTC
#
Answer Page,Metric,Company,Year,Value,Source Page
https://wikirate.org/Fashion_Revolution+5_4_Overconsumption_Waste_Circularity+OVS_SpA+2021,"Fashion Revolution+5.4 Overconsumption, Waste & Circularity",OVS SpA,2021,8.18181818181818,
https://wikirate.org/Fashion_Revolution+5_4_Overconsumption_Waste_Circularity+Superdry_plc+2021,"Fashion Revolution+5.4 Overconsumption, Waste & Circularity",Superdry plc,2021,7.272727272727271,
https://wikirate.org/Fashion_Revolution+5_4_Overconsumption_Waste_Circularity+H_M+2021,"Fashion Revolution+5.4 Overconsumption, Waste & Circularity",H&M,2021,6.3636363636363615,
https://wikirate.org/Fashion_Revolution+5_4_Overconsumption_Waste_Circularity+Pimkie+2021,"Fashion Revolution+5.4 Overconsumption, Waste & Circularity",Pimkie,2021,6.3636363636363615,
https://wikirate.org/Fashion_Revolution+5_4_Overconsumption_Waste_Circularity+Nike_Inc+2021,"Fashion Revolution+5.4 Overconsumption, Waste & Circularity",Nike Inc.,2021,5.454545454545453,
https://wikirate.org/Fashion_Revolution+5_4_Overconsumption_Waste_Circularity+The_Timberland_Company+2021,"Fashion Revolution+5.4 Overconsumption, Waste & Circularity",The Timberland Company,2021,5.454545454545453,
https://wikirate.org/Fashion_Revolution+5_4_Overconsumption_Waste_Circularity+Converse+2021,"Fashion Revolution+5.4 Overconsumption, Waste & Circularity",Converse,2021,5.454545454545453,
https://wikirate.org/Fashion_Revolution+5_4_Overconsumption_Waste_Circularity+Gucci+2021,"Fashion Revolution+5.4 Overconsumption, Waste & Circularity",Gucci,2021,5.454545454545453,
https://wikirate.org/Fashion_Revolution+5_4_Overconsumption_Waste_Circularity+The_North_Face_Inc+2021,"Fashion Revolution+5.4 Overconsumption, Waste & Circularity",The North Face Inc.,2021,5.454545454545453,
https://wikirate.org/Fashion_Revolution+5_4_Overconsumption_Waste_Circularity+Pull_Bear+2021,"Fashion Revolution+5.4 Overconsumption, Waste & Circularity",Pull & Bear,2021,5.454545454545453,
https://wikirate.org/Fashion_Revolution+5_4_Overconsumption_Waste_Circularity+United_Colors_of_Benetton+2021,"Fashion Revolution+5.4 Overconsumption, Waste & Circularity",United Colors of Benetton,2021,5.454545454545453,
https://wikirate.org/Fashion_Revolution+5_4_Overconsumption_Waste_Circularity+Jordan_Brand+2021,"Fashion Revolution+5.4 Overconsumption, Waste & Circularity",Jordan (Brand),2021,5.454545454545453,
https://wikirate.org/Fashion_Revolution+5_4_Overconsumption_Waste_Circularity+Levi_Strauss_Co+2021,"Fashion Revolution+5.4 Overconsumption, Waste & Circularity",Levi Strauss & Co.,2021,4.545454545454544,
https://wikirate.org/Fashion_Revolution+5_4_Overconsumption_Waste_Circularity+Esprit_Holdings_Limited+2021,"Fashion Revolution+5.4 Overconsumption, Waste & Circularity",Esprit Holdings Limited,2021,4.545454545454544,
https://wikirate.org/Fashion_Revolution+5_4_Overconsumption_Waste_Circularity+Patagonia_Inc+2021,"Fashion Revolution+5.4 Overconsumption, Waste & Circularity",Patagonia Inc.,2021,4.545454545454544,
https://wikirate.org/Fashion_Revolution+5_4_Overconsumption_Waste_Circularity+Zara+2021,"Fashion Revolution+5.4 Overconsumption, Waste & Circularity",Zara,2021,4.545454545454544,
https://wikirate.org/Fashion_Revolution+5_4_Overconsumption_Waste_Circularity+Nordstrom+2021,"Fashion Revolution+5.4 Overconsumption, Waste & Circularity",Nordstrom,2021,4.545454545454544,
https://wikirate.org/Fashion_Revolution+5_4_Overconsumption_Waste_Circularity+Asics_Corporation+2021,"Fashion Revolution+5.4 Overconsumption, Waste & Circularity",Asics Corporation,2021,4.545454545454544,
https://wikirate.org/Fashion_Revolution+5_4_Overconsumption_Waste_Circularity+MANGO_Punto_Fa_S_L+2021,"Fashion Revolution+5.4 Overconsumption, Waste & Circularity","MANGO (Punto Fa, S.L.)",2021,4.545454545454544,
https://wikirate.org/Fashion_Revolution+5_4_Overconsumption_Waste_Circularity+Zalando_SE+2021,"Fashion Revolution+5.4 Overconsumption, Waste & Circularity",Zalando SE,2021,4.545454545454544,
https://wikirate.org/Fashion_Revolution+5_4_Overconsumption_Waste_Circularity+Vans+2021,"Fashion Revolution+5.4 Overconsumption, Waste & Circularity",Vans,2021,4.545454545454544,
https://wikirate.org/Fashion_Revolution+5_4_Overconsumption_Waste_Circularity+Massimo_Dutti_S_A+2021,"Fashion Revolution+5.4 Overconsumption, Waste & Circularity",Massimo Dutti S.A.,2021,4.545454545454544,
https://wikirate.org/Fashion_Revolution+5_4_Overconsumption_Waste_Circularity+Bershka+2021,"Fashion Revolution+5.4 Overconsumption, Waste & Circularity",Bershka,2021,4.545454545454544,
https://wikirate.org/Fashion_Revolution+5_4_Overconsumption_Waste_Circularity+Stradivarius+2021,"Fashion Revolution+5.4 Overconsumption, Waste & Circularity",Stradivarius,2021,4.545454545454544,
https://wikirate.org/Fashion_Revolution+5_4_Overconsumption_Waste_Circularity+Nutmeg_at_Morrisons+2021,"Fashion Revolution+5.4 Overconsumption, Waste & Circularity",Nutmeg at Morrisons,2021,4.545454545454544,
https://wikirate.org/Fashion_Revolution+5_4_Overconsumption_Waste_Circularity+Primark+2021,"Fashion Revolution+5.4 Overconsumption, Waste & Circularity",Primark,2021,3.636363636363636,
https://wikirate.org/Fashion_Revolution+5_4_Overconsumption_Waste_Circularity+Adidas_AG+2021,"Fashion Revolution+5.4 Overconsumption, Waste & Circularity",Adidas AG,2021,3.636363636363636,
https://wikirate.org/Fashion_Revolution+5_4_Overconsumption_Waste_Circularity+Burberry_Group_plc+2021,"Fashion Revolution+5.4 Overconsumption, Waste & Circularity",Burberry Group plc,2021,3.636363636363636,
https://wikirate.org/Fashion_Revolution+5_4_Overconsumption_Waste_Circularity+Guess_Inc+2021,"Fashion Revolution+5.4 Overconsumption, Waste & Circularity",Guess? Inc,2021,3.636363636363636,
https://wikirate.org/Fashion_Revolution+5_4_Overconsumption_Waste_Circularity+Tchibo_GmbH+2021,"Fashion Revolution+5.4 Overconsumption, Waste & Circularity",Tchibo GmbH,2021,3.636363636363636,
https://wikirate.org/Fashion_Revolution+5_4_Overconsumption_Waste_Circularity+Mammut_Sports_Group_AG+2021,"Fashion Revolution+5.4 Overconsumption, Waste & Circularity",Mammut Sports Group AG,2021,3.636363636363636,
https://wikirate.org/Fashion_Revolution+5_4_Overconsumption_Waste_Circularity+El_Corte_Ingles_S_A+2021,"Fashion Revolution+5.4 Overconsumption, Waste & Circularity",El Corte Ingles S.A.,2021,3.636363636363636,
