# https://wikirate.org/?filter%5Bname%5D=&sort_by=name&mark=Fashion+Transparency+Index+2021+%28full+dataset%29%2BCompany&format=csv&view=titled&limit=500
"# Wikirate.org, licensed under CC BY 4.0 (https://creativecommons.org/licenses/by/4.0). See https://wikirate.org/Attribution_Guide."
# 2023-11-21 02:33:34 UTC
#
Link,Name,ID,Headquarters
https://wikirate.org/~60914,Abercrombie & Fitch,60914,New York (United States)
https://wikirate.org/~7217,Adidas AG,7217,Germany
https://wikirate.org/~2612145,Aeropostale Inc.,2612145,New York (United States)
https://wikirate.org/~1830731,Airwair International Ltd (Dr Martens),1830731,United Kingdom
https://wikirate.org/~48256,Aldi Nord,48256,Germany
https://wikirate.org/~5208,Aldi Sud,5208,Germany
https://wikirate.org/~5793646,ALDO,5793646,Quebec (Canada)
https://wikirate.org/~11708,"Amazon.com, Inc.",11708,Washington (United States)
https://wikirate.org/~862441,American Eagle Outfitters,862441,Pennsylvania (United States)
https://wikirate.org/~5455028,Anthropologie,5455028,Pennsylvania (United States)
https://wikirate.org/~5424735,Anta Sports Products,5424735,Fujian (China)
https://wikirate.org/~5414341,Aritzia,5414341,Canada
https://wikirate.org/~170564,Asics Corporation,170564,Japan
https://wikirate.org/~1829050,Asos,1829050,United Kingdom
https://wikirate.org/~3666092,Balenciaga,3666092,Spain
https://wikirate.org/~5786423,Bally,5786423,Switzerland
https://wikirate.org/~5451019,Banana Republic,5451019,California (United States)
https://wikirate.org/~5796122,BCBGMAXAZRIA,5796122,California (United States)
https://wikirate.org/~5786959,Beanpole,5786959,"Korea, Republic of"
https://wikirate.org/~49737,Belle International Holdings,49737,Guangdong (China)
https://wikirate.org/~5451005,Bershka,5451005,Spain
https://wikirate.org/~5786653,Big Bazaar,5786653,India
https://wikirate.org/~5787495,Big W,5787495,Australia
https://wikirate.org/~2611997,Billabong International Ltd,2611997,Australia
https://wikirate.org/~5788756,Bloomingdale's,5788756,New York (United States)
https://wikirate.org/~5771133,Bonprix,5771133,Germany
https://wikirate.org/~3624440,Boohoo.com,3624440,United Kingdom
https://wikirate.org/~5294189,Bosideng International Holdings Limited,5294189,Shanghai (China)
https://wikirate.org/~3666091,Bottega Veneta,3666091,Italy
https://wikirate.org/~5981717,Brooks Brothers,5981717,New York (United States)
https://wikirate.org/~1826117,"Brooks Sports, Inc",1826117,Washington (United States)
https://wikirate.org/~3624475,Brunello Cucinelli,3624475,Italy
https://wikirate.org/~2980808,Buckle Inc,2980808,Nebraska (United States)
https://wikirate.org/~9139,Burberry Group plc,9139,United Kingdom
https://wikirate.org/~2632287,Burlington Stores Inc,2632287,New Jersey (United States)
https://wikirate.org/~8853,C&A,8853,Belgium
https://wikirate.org/~3097707,C&J Clark International,3097707,United Kingdom
https://wikirate.org/~5451021,Calvin Klein Inc.,5451021,New York (United States)
https://wikirate.org/~5434590,Calzedonia,5434590,Italy
https://wikirate.org/~5408890,Canada Goose,5408890,"Ontario, Canada"
https://wikirate.org/~3152073,Capri Holdings Ltd (formerly Michael Kors),3152073,United Kingdom
https://wikirate.org/~2608837,Carhartt Inc,2608837,Michigan (United States)
https://wikirate.org/~5791067,Carolina Herrera,5791067,New York (United States)
https://wikirate.org/~5786255,Caroll,5786255,France
https://wikirate.org/~17024,Carrefour S.A.,17024,France
https://wikirate.org/~3052157,Cato Corp,3052157,North Carolina (United States)
https://wikirate.org/~5787634,Celine,5787634,France
https://wikirate.org/~5772840,Celio International,5772840,France
https://wikirate.org/~5809076,Champion,5809076,North Carolina (United States)
https://wikirate.org/~2612054,Chanel SA,2612054,France
https://wikirate.org/~2632311,Chico's FAS Inc,2632311,Florida (United States)
https://wikirate.org/~2632436,Children's Place Inc,2632436,New Jersey (United States)
https://wikirate.org/~3663884,Chloe,3663884,France
https://wikirate.org/~48305,Christian Dior,48305,France
https://wikirate.org/~2975722,"Claire's Stores, Inc.",2975722,Illinois (United States)
https://wikirate.org/~5399412,Coach Stores Limited,5399412,United Kingdom
https://wikirate.org/~5791283,Cole Haan,5791283,New Hampshire (United States)
https://wikirate.org/~861862,Columbia Sportswear,861862,Oregon (United States)
https://wikirate.org/~14396,Converse,14396,Massachusetts (United States)
https://wikirate.org/~2612137,Cortefiel SA,2612137,Spain
https://wikirate.org/~47675,Costco Wholesale,47675,Washington (United States)
https://wikirate.org/~3096434,Cotton on Group,3096434,Australia
https://wikirate.org/~3081215,Debenhams Retail plc,3081215,United Kingdom
https://wikirate.org/~3098192,Decathlon Group,3098192,France
https://wikirate.org/~3098194,Desigual,3098194,Spain
https://wikirate.org/~5791798,Diane von Furstenberg,5791798,New York (United States)
https://wikirate.org/~50638,Dick's Sporting Goods,50638,Pennsylvania (United States)
https://wikirate.org/~2618141,Diesel SpA,2618141,Italy
https://wikirate.org/~776665,"Dillard's, Inc.",776665,Arkansas (United States)
https://wikirate.org/~1810808,DKNY,1810808,New York (United States)
https://wikirate.org/~4580228,Dolce & Gabbana,4580228,Italy
https://wikirate.org/~5787297,Dressmann,5787297,Norway
